"Product ID","Product Name",SKU,"Broken Featured Image ID","Broken Gallery Image IDs","Working Gallery Image IDs","New Featured Image ID","New Gallery Image IDs","Actions Taken"
190,"Royston Double Band Ring",,769,,"648, 647",648,647,"Removed broken featured image ID: 769; Promoted gallery image ID 648 to featured"
452,"Sunrise Turquoise Studs",,784,,"666, 617",666,617,"Removed broken featured image ID: 784; Promoted gallery image ID 666 to featured"
472,"Studded Kingman Turquoise Ring",,771,,"688, 656",688,656,"Removed broken featured image ID: 771; Promoted gallery image ID 688 to featured"
476,"Garnet and Brass Ring",,768,,586,586,,"Removed broken featured image ID: 768; Promoted gallery image ID 586 to featured"
480,"Saffron Stacking Ring",,770,,649,649,,"Removed broken featured image ID: 770; Promoted gallery image ID 649 to featured"
638,"Sunrise Garnet Mountain Studs",,763,,"664, 619",664,619,"Removed broken featured image ID: 763; Promoted gallery image ID 664 to featured"
639,"Sunrise Citrine Mountain Studs",,764,,"665, 620",665,620,"Removed broken featured image ID: 764; Promoted gallery image ID 665 to featured"
640,"Sunrise Citrine Mountain Ring",,761,,,,,"Removed broken featured image ID: 761"
641,"Sunrise Garnet Mountain Ring",,765,,621,621,,"Removed broken featured image ID: 765; Promoted gallery image ID 621 to featured"
642,"Sunrise Mountain Ring",,772,,623,623,,"Removed broken featured image ID: 772; Promoted gallery image ID 623 to featured"
660,"Desert Flower Ring",,766,,658,658,,"Removed broken featured image ID: 766; Promoted gallery image ID 658 to featured"
661,"Fire & Wire Ring",,767,,"663, 655",663,655,"Removed broken featured image ID: 767; Promoted gallery image ID 663 to featured"
